,Time,Sender,Sender_type,Content
0,0:00:04,Akiyumaa,subscriber,sardLate sardInspect
1,0:00:06,Fonggas_Wowee,subscriber,chocolate
2,0:00:12,Derasiel_Wowee,subscriber,IL EST EN LIVE
3,0:00:13,imdemigod,subscriber,Eh re !
4,0:00:24,Nespose,none,hello
5,0:00:28,Fonggas_Wowee,subscriber,et rebonjour
6,0:00:31,Nespose,none,:D
7,0:00:35,RawenoR,none,Salut la commu!
8,0:00:38,Luo95,none,Yop
9,0:00:59,Nezuko_LoL,subscriber,Bonjour
10,0:01:10,Ayaya_Nakamura,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
11,0:01:12,Acro27,premium,g
12,0:01:18,Fonggas_Wowee,subscriber,sardAYAYA
13,0:01:29,PulseInsanity,none,LuvPeekR
14,0:01:37,Derasiel_Wowee,subscriber,J'ai été mauvaise langue désolé Wowee
15,0:01:43,Skull_JeeZy,none,Coucou <3
16,0:01:46,rotgar1er,none,gobWtf gobL
17,0:01:48,v4lm_,none,Heyo
18,0:01:50,6ssou,none,Yoooooo
19,0:01:51,yoan1111,none,✌🏻
20,0:01:51,lycornuss,none,yo
21,0:01:53,Fonggas_Wowee,subscriber,remix ralenti ?
22,0:01:55,koan_kj,none,yo
23,0:01:55,cigjt,none,yo
24,0:01:55,amyann,none,VoHiYo
25,0:01:56,silphars,premium,salut a tous
26,0:01:56,feuilleslim,none,Bonjour HeyGuys HeyGuys HeyGuys
27,0:01:57,enjoy_______,subscriber,🍊
28,0:02:01,GigaGigot,subscriber,GigaGigot subscribed at Tier 1. They've subscribed for 30 months; currently on a 30 month streak! sardWeeb_SG
29,0:02:03,aden_xeverns,none,bonjour
30,0:02:04,Thiefdawn,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
31,0:02:04,Ypotrope,premium,h
32,0:02:05,bwarn11_,none,bonjour
33,0:02:05,herren7,none,salirrr3
34,0:02:05,sparko75,none,Sardoche je t'aime mon amour de toujours
35,0:02:05,Derasiel_Wowee,subscriber,@CamiKase bah c'est pas très chic ça
36,0:02:05,Mannnequins,subscriber,rooHi
37,0:02:06,yoan1111,none,TPFufun
38,0:02:14,jaimelespatobeur,none,yo sard
39,0:02:14,fayvinnn,none,Bonne st valentin BibleThump
40,0:02:15,ShadowzGamerV,none,et salut à tous les amis
41,0:02:15,BraZZerG8,none,hola
42,0:02:16,Naos_MFT,premium,yo
43,0:02:30,SK_Sumdeus,premium,amour sur vous les gars
44,0:02:30,arthuuuuuuuuuro,none,quel heure?
45,0:02:33,shidori__,premium,yooooo
46,0:02:35,Mavis____,none,El psy congroo
47,0:02:37,yoan1111,none,💜
48,0:02:38,akdeke,premium,yo
49,0:02:38,BboyTobby,none,oh yooooo
50,0:02:38,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign
51,0:02:40,Hiakin,none,Yop !
52,0:02:44,rrom6859,premium,Ce matin tu y étais presque on l'a tous vu
53,0:02:46,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign
54,0:02:46,Murza__,none,Wassup
55,0:02:51,Nailyk93320,none,Slt
56,0:02:51,Fonggas_Wowee,subscriber,LuvBrownL LuvBrownL LuvBrownL LuvBrownL
57,0:02:54,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign
58,0:02:55,MentoRCreeds,subscriber,sardAYAYA sardAYAYA sardAYAYA
59,0:02:56,yoan1111,none,Par contre c’est quoi le délire des lives à 5h du mat?
60,0:02:57,aquaftn,subscriber,re
61,0:02:58,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign
62,0:03:03,Mannnequins,subscriber,rooLove rooLove rooLove rooLove rooLove rooLove
63,0:03:08,nakorlemalicieux,none,général kenobi
64,0:03:08,Derasiel_Wowee,subscriber,LuvHearts
65,0:03:10,shidori__,premium,LuvBrownR LuvCool
66,0:03:14,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign
67,0:03:17,rrom6859,premium,les gars même si on est en couple on est pas obligés de faire la st val Kappa Kappa
68,0:03:20,LeaRistocats,none,la musique mdr
69,0:03:21,VolcomDaman,subscriber,sommes nous dans un univers parallèle ? 15h il live !
70,0:03:22,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign
71,0:03:22,Fonggas_Wowee,subscriber,j'ai fait une sieste de 30min je suis un homme nouveau sardFire
72,0:03:25,Ayaya_Nakamura,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
73,0:03:26,antimerguez86,none,pour la St Valentin y'a pas quelqu'un qui send nude ?
74,0:03:26,uneaven,subscriber,Main dans le falzar day
75,0:03:27,phutur2,none,Qui a la plus grosse entre Sard et Griveaux ?
76,0:03:34,Black_guns159,none,general kenobi
77,0:03:35,shidori__,premium,pas grave on est le FC célibat on est unis
78,0:03:36,PulseInsanity,none,LuvOops
79,0:03:36,yoan1111,none,Konichiwa
80,0:03:37,Naoan77,none,Griveauw
81,0:03:37,rotgar1er,none,sardAYAYA sardAYAYA sardAYAYA gobL ouiLOVE ouiAYAYA LuvBrownR LuvBlush
82,0:03:42,sSyve,subscriber,ssah quel plaisir je rentre et sardoche live
83,0:03:44,Derasiel_Wowee,subscriber,@Fonggas t'aurais du venir sur lol avec moi c'était giga bien
84,0:03:46,rrom6859,premium,@antimerguez86 demande à griveaux pour les nude
85,0:03:47,hskinghs,premium,wesh
86,0:03:47,feove,none,slt
87,0:03:48,hastte_,none,!music
88,0:03:49,ketaat,none,BlessRNG
89,0:03:51,fanatik_live,subscriber,Re
90,0:03:54,Bloodsafe,subscriber,ptdr les banword pour le site pron
91,0:03:57,Naoan77,none,§UPTIME
92,0:03:57,LiteFlow2,premium,Domo
93,0:04:04,blazflyer,premium,OK
94,0:04:06,Fonggas_Wowee,subscriber,@derasiel_wowee je suis éclaté en général et en nuit blanche jte dis pas
