,Time,Sender,Sender_type,Content
0,0:00:01,Johntravelota,premium,Bonne année aux sardoniens !
1,0:00:06,Kratousss,subscriber,stp Sard détruit là ajd
2,0:00:06,Titatitutu,subscriber,Oh il est à l'heure
3,0:00:09,Craaper12,none,yo
4,0:00:09,wowlf_,none,waw
5,0:00:09,Mourad0s,premium,bonsoir !!!
6,0:00:25,ErielJo,subscriber,wow t'es pas en retard
7,0:00:26,Leorlio,subscriber,allaient ce soir le stream entre dans l histoire
8,0:00:30,kyosama,none,wsh
9,0:00:31,theo3245,none,slt
10,0:00:33,NaydeeM_,subscriber,yo
11,0:00:35,boudiouuuu,premium,bonne annee les mega potes
12,0:00:40,thedarkkkk,none,let go
13,0:00:45,Yarokin,subscriber,Sa fais 5 jours que j'attend ça
14,0:00:55,Glargs,none,Today is the day
15,0:01:01,StraTaTeK_,none,FEURST
16,0:01:04,Snow_Fey,none,Not again
17,0:01:04,Mekhra_,none,Conférence de presse
18,0:01:07,Jamelinou,none,<3
19,0:01:07,zarennwynn_,none,Quelqu'un connait le nom de la musique ?
20,0:01:07,mantavinx,subscriber,Yes
21,0:01:07,cross954,premium,first
22,0:01:07,Bearer974,none,FIRST
23,0:01:07,nicolas021110,subscriber,Lol
24,0:01:08,MrTTRX,premium,Yo
25,0:01:09,BUST3RC4LL,none,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
26,0:01:11,zzzzzzzz_zzzzzzzz,none,Absolument aucune; j'attends pas le début d'un calendrier pour prendre ma vie en main bande de fils de p*te.
27,0:01:11,la_main_droite_de_Jamel,subscriber,sardWeeb
28,0:01:15,TheOgus,subscriber,sardYop sardYop
29,0:01:17,Zekrom51,none,YOYOYOYOYO
30,0:01:19,nass_63,none,bonsoir
31,0:01:19,StraTaTeK_,none,@cross954 suceur
32,0:01:21,Viruspyko,none,@glargs 3 jours qu'on dit ça
33,0:01:23,boudiouuuu,premium,boudiouuuu subscribed with Twitch Prime. They've subscribed for 12 months! 
34,0:01:25,Zanarque_,none,YoWOwOwOwOOWOwoOO
35,0:01:26,DestoEU,subscriber,yioyoyoyoyooyoy
36,0:01:26,shamigh,none,putain enfin j'arrive sur un live au début
37,0:01:27,Bearer974,none,On va lui exploser les rotules à cette valkyrie
38,0:01:27,nicolas021110,subscriber,TAC TAC TAC TAC TAC TAC
39,0:01:28,Glargs,none,x)
40,0:01:28,aVoxMonster,none,https://www.youtube.com/watch?v=_snnweFQ8S4
41,0:01:30,lebossdu91l4stangel,none,Slt CV ?
42,0:01:32,Dodo250,premium,Idiocratie
43,0:01:33,Mehdiblk,none,wsh la folasse du net LUL
44,0:01:33,Kaldej,none,yo les freres
45,0:01:34,Gasaraki9,subscriber,Yo sard
46,0:01:39,luxime,subscriber,sardYop sardYop sardYop
47,0:01:39,wannaone_,none,Bonsoir Sardoche
48,0:01:40,yacinoti,none,ÇA SENT LE SANGGGGGGG
49,0:01:42,JLJax,none,yo sard
50,0:01:46,Zanarque_,none,JSUIS UN AVION
51,0:01:46,jlyanggg,none,sale merde
52,0:01:47,Gasaraki9,subscriber,Bonne année à tous mes amis sardWeeb
53,0:01:48,danstamadre,none,JL a parler
54,0:01:49,boudiouuuu,subscriber,wouuu
55,0:01:50,Ayaya_Nakamura,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
