,Time,Sender,Sender_type,Content
0,0:00:05,SyIvanus,subscriber,Ohhhhhhhhhhh oauis
1,0:00:06,Bleubz,subscriber,OUI
2,0:00:08,Reykin,subscriber,sardYop
3,0:00:19,Crapps007,subscriber,y'a pas de son :(
4,0:00:26,leboeufbourguignons,subscriber,OUUUIIIIIIIIIIIIIIIIII sardDodo sardDodo sardDodo sardDodo sardDodo sardDodo sardDodo sardDodo sardDodo sardDodo sardDodo sardLate sardLate sardLate sardLate sardLate sardLate
5,0:00:26,SyIvanus,subscriber,Chill ? Comment ça chill ? Go défoncer du boss Kappa
6,0:00:30,bagougou,none,yyyeeeeessss
7,0:00:31,kumalabriko,none,mais nan....
8,0:00:37,StormoraxGaming,subscriber,*
9,0:00:47,fanfanfaron,premium,la faute au pipi
10,0:00:48,dallyum,premium,Je l'attendais pour qu'il m'endorme de sa douce voix mais là il va me faire rater ma nuit avec lui
11,0:00:49,Rik_fr,premium,yo
12,0:00:51,SomaliPirat1,none,EYOOOOOOOOOOOOO
13,0:00:53,fyraell,none,Let's go!!!
14,0:00:56,upsilonn,none,plop
15,0:00:57,croustibatshow,none,sah quel plaisir
16,0:00:58,Liixxo,none,Eyop !
17,0:01:00,LapinexYtb,none,Heyyyy
18,0:01:03,raphaelink,none,yooooooo
19,0:01:04,neooziaa,none,wassup
20,0:01:04,Narutimalte,premium,un titre ou on risque de se faire b**ser
21,0:01:06,Nicolas_b322,none,heyyy
22,0:01:06,Zytophile,none,enfin du stream!!
23,0:01:07,DarkFeudala_,subscriber,sardAYAYA
24,0:01:07,Zaliiio,premium,yoooooooo
25,0:01:09,Chaawie,subscriber,SALAM BG
26,0:01:10,dallyum,premium,ahhhhhh
27,0:01:11,didade_,premium,Trop bien un live chill merci @Sardoche
28,0:01:12,halundaar,none,OH IL EST LA
29,0:01:14,lapoutrenordik,none,bonjour
30,0:01:14,croustibatshow,none,les gars se soit personne trash talk
31,0:01:15,lamantin_,none,soir les gens
