,Time,Sender,Sender_type,Content
0,0:00:00,Sardoche,broadcaster,J'ai troll ne revenons plus là dessus
1,0:00:01,SomaliPirat1,none,"deyvartv me suis trompé d'emote: ""Dis Wola ANELE """
2,0:00:01,deyvartv,none,OH
3,0:00:08,Fonggas_Wowee,subscriber,attendu jusqu'à 3h; je me couche et après je vois qu'il a stream tout la matinée
4,0:00:11,axel54490,subscriber,Il est chaaaud
5,0:00:12,Letwale,none,Nanda
6,0:00:23,Yurryh,subscriber,"""J'arrive."""
7,0:00:23,Ladon1,moderator,@Chaawie tqt je l'ai unban quand je me suis réveillé
8,0:00:23,didade_,premium,@sardoche; :/
9,0:00:26,SomaliPirat1,none,EYO
10,0:00:31,Chaawie,subscriber,Bien vu bg
11,0:00:42,Fonggas_Wowee,subscriber,salut sardo
12,0:00:46,Yangi_TV,none,Ptdr
13,0:00:48,Myzen_,none,"plus jamais je me fie a ces tweets apres le fameux ""j'arrive"" je suis tomber dans le neant a cause de ça sardAYAYA"
14,0:00:52,Yangi_TV,none,Le best
15,0:01:01,Animathorz,premium,oui
16,0:01:02,Ladon1,moderator,il a oublié la musique
17,0:01:13,mrsoaphd,none,ça commence a quelle heure
18,0:01:16,Yangi_TV,none,Vu que y’a encore personne et que tu va lire sache t’es goat de ouf @sardoche
19,0:01:24,Jyken,none,Il est la le meilleur d'entre nous
20,0:01:31,Yoplaytte,none,cc
21,0:01:33,deyvartv,none,ça me fais mal d'être follow que depuis Février alors que ...
22,0:01:37,Yurryh,subscriber,sardPiano
23,0:01:38,Scapics,premium,yo
24,0:01:40,Paranor_,none,ResidentSleeper
25,0:01:40,Chaawie,subscriber,Cette cover sardAYAYA sardAYAYA
26,0:01:42,axel54490,subscriber,Yoooooooooooo
27,0:01:53,nicooooooooow,none,ENFIN
28,0:01:55,cosinusinus,subscriber,Comment on sait la date du follow ?
29,0:01:56,Dokers_,none,Yoooooooooo
30,0:01:59,as0pka,subscriber,bonsoir amis chomeur
31,0:01:59,grossteutar,none,derniere etape du tour de france
32,0:02:00,Vladilyes,premium,Salut gl mrmvSvetlana
33,0:02:03,Kambrass,subscriber,OOUIIIIIII
34,0:02:04,axel54490,subscriber,Bien le bonjour brave gens !
35,0:02:06,n_a_n_a_r,premium,Mais il est 5 h du mattrtttt
36,0:02:06,UnfallenTV,subscriber,Via purifico <3
37,0:02:07,Legit_Crab,none,HeyGuys
38,0:02:08,Soweq4,premium,je suis japonais
39,0:02:08,Sardoche,broadcaster,Je suis deg que vous reconnaissiez que c'est un cover
40,0:02:08,nikobelic988,none,pole emploi vie
41,0:02:09,elchapodelsol,none,5h du mat mdrr
42,0:02:09,DaeboAkaGod,none,@cosinusinus 19dec 2015
43,0:02:10,PeeeulS,premium,Ah HeyGuys
44,0:02:10,Yurryh,subscriber,@cosinusinus clique sur ton pseudo
45,0:02:11,Sardoche,broadcaster,et que c'est pas l'original :'(
46,0:02:12,Yoplaytte,none,@cosinusinus clique sur ton pseudo
47,0:02:13,didade_,premium,19 decembre 2015
48,0:02:17,insuline777,none,ayayay
49,0:02:18,groudalkia,none,il c edt
50,0:02:20,cosinusinus,subscriber,Ah nice merci
