,Time,Sender,Sender_type,Content
0,0:00:01,Alea_toire,none,Pog
1,0:00:04,Derasiel_Wowee,subscriber,MAIS NAN
2,0:00:05,aimdesard,subscriber,sardAYAYA sardAYAYA sardAYAYA
3,0:00:05,Zealest,subscriber,lets goo
4,0:00:06,HighQualityVignette,subscriber,LA LUMIERE
5,0:00:07,Alea_toire,none,SALUUUUT
6,0:00:07,bibendum480,subscriber,omg
7,0:00:10,Zealest,subscriber,sardYop sardYop sardYop sardYop
8,0:00:11,Derasiel_Wowee,subscriber,PogChamp SALUT SARDO
9,0:00:13,NaydeeM_,subscriber,sardYop sardYop sardYop sardYop
10,0:00:14,Yrium_,subscriber,Incroyable sons <3
11,0:00:16,bibendum480,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
12,0:00:18,luxime,subscriber,et c'est parttiiii
13,0:00:19,aewiyn_,none,VoHiYo VoHiYo
14,0:00:20,Alea_toire,none,Kreygasm
15,0:00:22,tarento_,none,c'est quoi le programme aujourdhui ?
16,0:00:24,fitttaa,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
17,0:00:37,Black3v3r,subscriber,@Sardoche 720p60 max ici; c'est normal ?
18,0:00:49,Rayanblm4,none,youpi
19,0:00:50,HighQualityVignette,subscriber,@Sardoche pour la yes life faut que tu mange 2 sardine a l'hule d'olive sur une tranche de pain d'épice
20,0:00:50,arkyoz2,none,Yo
21,0:00:51,darwins00,none,Yo
22,0:00:51,esteban192007,none,Yo
23,0:00:53,Sardoche,broadcaster,Mauvaise langue gath
24,0:00:53,Jaynaris_,none,Y'a que chez moi que pandora marche pas ?
25,0:00:54,yoan1111,none,Yo
26,0:00:54,Alea_toire,none,rioluL
27,0:00:54,alylzb,none,yo
28,0:00:55,Sossko1,none,yo
29,0:00:56,Jyben_,subscriber,SltCestGray ah ouais ça supprime; j'avais pas capté; c'est cool du coup
30,0:00:57,tamarino2006,none,Yo
31,0:00:58,ShazWay,none,Bonsoir
32,0:00:58,jaimelespatobeur,none,YOOOOOO
33,0:00:59,ShaayR,premium,YOOOOOO
34,0:01:00,Bobby_La_Malice,none,yo
35,0:01:03,drsenseito,premium,kikou
36,0:01:04,Bazippo,none,?
37,0:01:06,lepouletkawaii,none,hey
38,0:01:08,luxime,subscriber,yo
39,0:01:08,tipooc,none,Heyooo
40,0:01:08,Kigapple,subscriber,sardYop
41,0:01:09,kurt_lamalice,none,🤙
42,0:01:09,hakiixx,none,Tire d’une cam de q
43,0:01:09,beauverrrr,none,@Sardoche Talos principle road to ghehena when :o
44,0:01:10,aimdesard,subscriber,sardLUL
45,0:01:10,mashiro_56,none,Salut les boiii 4Head 4Head 4Head
46,0:01:11,arkyoz2,none,Cc
47,0:01:11,gihad9314,subscriber,Tanacoo par au rdv on est tous decu
48,0:01:11,skrrrrrrrt_exe,none,Bonjour KonCha
49,0:01:13,popops13,none,slt
50,0:01:13,luxime,subscriber,sardYop
51,0:01:13,CharleLee,subscriber,Bonjour bonjour
52,0:01:13,MStuka,premium,KonCha
53,0:01:19,yoan1111,none,TPFufun
54,0:01:19,Friedse,subscriber,Lets go red shadows legends
55,0:01:23,HighQualityVignette,subscriber,ri tanacoo
56,0:01:25,nero_scp,subscriber,Je regarder un live cuisine :(
57,0:01:25,Gtxkil,subscriber,go
58,0:01:28,Jyben_,subscriber,SltCestGray Bah RIP ZULUL
59,0:01:28,veezek,none,SARDOCHE JE T'AIME
60,0:01:29,jaimelespatobeur,none,LE ROI DU SEEEEEEEEEEL
61,0:01:30,guigzou,none,On ne l'attendais plus
62,0:01:30,DaawZ,subscriber,sardYop sardYop
63,0:01:31,beauverrrr,none,talon principle road to gehenna Pog
64,0:01:32,kyar0s,premium,shaluuut
65,0:01:32,WilI_,subscriber,WilI_ subscribed at Tier 1. They've subscribed for 15 months; currently on a 15 month streak! sardLove
66,0:01:32,el_chapeau76,none,bonjour HeyGuys HeyGuys
67,0:01:36,Mmejean,subscriber,yup
68,0:01:36,draxaufeuxyz,none,wesh wesh wesh
69,0:01:36,eziotike,none,wsh
70,0:01:39,magohamothv,none,domingoPopcorn
71,0:01:39,arkyoz2,none,J’adore la Music !!
72,0:01:39,overlord007,none,GENERAL GRIEVOUS
73,0:01:40,GrandMechantEpaulard,subscriber,sardYop sardYop
74,0:01:42,demonslash83,none,yop
75,0:01:42,Zealest,subscriber,incroyable son
76,0:01:44,Baie_Tas,none,Oyow
77,0:01:49,TVNitrox,none,Aled ça me mets something went wrong quand je veux créer un compte sur Pandora ?
78,0:01:52,TheFuryTime,premium,Yo
79,0:01:53,hugostup,none,ouech ouech les amis
80,0:01:53,Skallz11,none,T'as l'eau prince l'eau pleut !
81,0:01:55,HumbleGou,subscriber,HumbleGou subscribed at Tier 1. They've subscribed for 10 months! Pog
82,0:01:57,gpokompri,none,hello obi wan
83,0:01:59,DjangoAlive,none,Coucou Sard
84,0:01:59,slyzek58,none,yo yo yo
85,0:02:01,Eeveelition,none,J’ai le sardocha-virus
86,0:02:01,hakiixx,none,theholoSmirk
87,0:02:02,RawenoR,none,Merci pour LuvSnooze @humblegou
88,0:02:03,phost,subscriber,salut
89,0:02:04,Spiritualkaon,subscriber,Hello
90,0:02:04,rips56on,subscriber,Bonsoir
91,0:02:05,DjangoAlive,none,django15BByoda
92,0:02:05,Gtxkil,subscriber,sardFire sardFire sardFire sardFire
93,0:02:06,WxantZoom,none,Général Kenobi
94,0:02:07,HighQualityVignette,subscriber,vous saviez qu'a chaque début de stream quand il dit le petit éyop je jouis instant
95,0:02:07,bilberat_s,none,ui
96,0:02:09,Fivoka,none,ph1lHeart ph1lHeart
97,0:02:09,nero_scp,subscriber,Manu le boss ouiAYAYA
98,0:02:09,GrandMechantEpaulard,subscriber,General Kenobi...
99,0:02:10,yoan1111,none,PinkMercy KonCha VoHiYo
100,0:02:12,DjangoAlive,none,django15BByoda django15BByoda django15BByoda
101,0:02:13,draxaufeuxyz,none,PJSugar PJSugar PJSugar PJSugar
102,0:02:14,awfulmurray,none,salut sardoche j'espère que tu vas bien ? je passe juste une tête pour te dire bonjour ! bon live mec
103,0:02:15,Yrium_,subscriber,"Hésitez pas à ""!maso"" ^^"
104,0:02:17,Djilean,none,Et c'est l'op du joueur japonais qui va être lancer
105,0:02:18,NightTank66,premium,PokPikachu
106,0:02:20,demonslash83,none,où est mon op raid shadow legend ?!
107,0:02:21,nero_scp,subscriber,Manu qu'elle vie de merde Kappa
108,0:02:24,afxeno,none,!maso
109,0:02:24,tamarino2006,none,EYOP
110,0:02:25,ksajan_,subscriber,@TVNitrox avec l'extension de sardoche t'as un proxy pour pouvoir accéder à pandora
111,0:02:26,Tarhken,none,sardAYAYA
112,0:02:28,Baie_Tas,none,@highqualityvignette on voulait pas savoir
113,0:02:31,Alkouille,none,slt
114,0:02:32,nortonus1,none,eeeeeeyop
115,0:02:34,draxaufeuxyz,none,✌️
116,0:02:37,Michellopoto,none,TM !!!
117,0:02:38,HighQualityVignette,subscriber,@Baie_Tas c'est de la culture g
118,0:02:40,TVNitrox,none,@ksajan_ oui je l'ai mis
119,0:02:41,slyzek58,none,TPFufun TPFufun
120,0:02:44,jarodsli,none,yop
121,0:02:46,tamarino2006,none,EEEEEEEEEEEEEEEEEEEEEEEEEYOP
122,0:02:47,lactel38_,none,OSFrog
123,0:02:48,etowtv,none,le boss
124,0:02:49,Jaynaris_,none,mais le prxy marche pas :'(
125,0:02:49,ksajan_,subscriber,@TVNitrox ah alors aucune idée
126,0:02:51,kiritogeeker,none,yop
127,0:02:55,yoan1111,none,2006 ptn
128,0:02:56,GrandMechantEpaulard,subscriber,bloup bloup bloup
129,0:02:58,draxaufeuxyz,none,alalalalalallalala sardoche est dans la place baby
130,0:03:03,TVNitrox,none,a peut etre qu'il faut redémarer le navigateur @ksajan_ ; ?
131,0:03:04,ksajan_,subscriber,le proxy fonctionnait ya quelques jrs pour moi
132,0:03:04,toutankarton_,subscriber,LuvBlondeL LuvBrownR
133,0:03:07,veezek,none,"j'ai entendu ""incroyable"""
134,0:03:07,Gathoderiz,subscriber,sardRage @Sardoche
135,0:03:10,ksajan_,subscriber,oui
136,0:03:13,Anacomb,subscriber,Tellement hâte de voir ces gros bras la
137,0:03:13,akkataz,none,Psartek la famille
138,0:03:15,Baie_Tas,none,@highqualityvignette quand mm :(
139,0:03:15,Jaynaris_,none,@TVNitrox j'ai le mêm problème frérot
140,0:03:17,Aiguerem,none,UwU
141,0:03:18,kikumaru92,none,Bonjour
142,0:03:20,lt_ezy,none,Bonjour
143,0:03:23,mdrtheboss,none,yo
144,0:03:23,etowtv,none,on veut du lourd
145,0:03:25,Jyben_,subscriber,Nous sommes japonais
146,0:03:27,kusxley,none,salutations uwu
147,0:03:29,Tarhken,none,sardAYAYA sardAYAYA sardAYAYA
148,0:03:29,Jyben_,subscriber,Domo
149,0:03:29,Jeanfol,subscriber,sardYop
150,0:03:29,diox4,none,Salut salut
151,0:03:33,Alta93,subscriber,@Jyben_ domo
152,0:03:33,akkataz,none,LuvBlondeL LuvBlondeL LuvBlondeL
153,0:03:34,Fz_Trinity,none,Yo
154,0:03:34,heaven_shadow65,none,Wawwww
155,0:03:37,toutankarton_,subscriber,sardMaison sardLac
156,0:03:44,Zellyse,premium,cette musique NotLikeThis
157,0:03:44,Ghioo_,none,Ca va installer raid shadow ma bite en balle
158,0:03:46,RaiseNSharp,none,salut à tous les japonais
159,0:03:51,j0jolapatate,none,Eyooooooop
160,0:03:52,Croaa21,subscriber,wtf c quoi ce titre clickbait
161,0:03:53,diox4,none,Nous sommes les enfants du soleil levant
162,0:03:54,beauverrrr,none,@Sardoche Alors le marathon :)
163,0:03:56,Kurutshi,none,y a une OP ?
164,0:03:58,Aiguerem,none,Ca stream quoi aujourd'hui ?
165,0:04:01,Yrium_,subscriber,Lacher vaut meilleur 5€ l'histoire que quand il lance il y est +100sub sa serait drôle !
166,0:04:03,TVNitrox,none,Ca marche toujours pas Pandora :'(
167,0:04:03,demonslash83,none,RAID
168,0:04:05,yoan1111,none,Même chose que hier
169,0:04:05,Jyben_,subscriber,diox4 Domo
170,0:04:06,toutankarton_,subscriber,Cette musique kombos1Syl
171,0:04:06,Amiine54,subscriber,sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove sardLove
172,0:04:12,demonslash83,none,SHADOW
173,0:04:15,Kurutshi,none,enfin stream sponso
174,0:04:22,demonslash83,none,LEEEEEEEGEEEEENDS
175,0:04:25,jarodsli,none,RAID
176,0:04:28,luxime,subscriber,@Sardoche au fait je me demandais là ; cette commu a un nom ?
177,0:04:29,Gtxkil,subscriber,sardFire sardFire sardFire sardFire
178,0:04:32,squishyheart,subscriber,ah bah le bonjour
179,0:04:34,draxaufeuxyz,none,c est quoi la musique
180,0:04:40,Kurutshi,none,ha je vois
181,0:04:44,kiritogeeker,none,helllo sard !!
182,0:04:44,Aspiwo,none,momoLewd
183,0:04:48,akaleons,subscriber,la musique est degolasse
184,0:04:50,Gathoderiz,subscriber,draxaufeuxyz En haut a gauche sardInspect
185,0:04:51,HighQualityVignette,subscriber,@luxime hypocrite de donnez un nom à ca commu
186,0:04:51,guigzou,none,Nouveau sur Twitch les gars; ça sert à quoi les points de chaîne ?
187,0:04:51,Aiguerem,none,c'est marqué en haut à gauche frero @draxaufeuxyz
188,0:04:51,diox4,none,Nous somme japonais
189,0:04:52,luxime,subscriber,pandora marche très bien chez moi
190,0:04:54,toutankarton_,subscriber,<Message supprimé>
191,0:04:55,yoan1111,none,Wake up -cirana
192,0:04:57,nero_scp,subscriber,Y a des sons ou je me poserai toujours la question
193,0:04:57,SKYTEKTV_,none,Ouai ouai ouai
194,0:04:58,ksajan_,subscriber,"@luxime il nous appelle souvent ""fils de p*te"" mais je sais pas si ça compte comme un surnom de commu"
195,0:04:59,bibendum480,subscriber,sardAYAYA sardAYAYA sardAYAYA
196,0:05:02,kawabunga92i,subscriber,sardLUL sardLUL
197,0:05:03,n0_time,subscriber,Quelqu'un sait quand Pandora sera dispo en France sans vpn ?
198,0:05:04,kazuma3845,none,libeHey libeHey
199,0:05:09,kiritogeeker,none,j'avoue la musque fait mal aux oreiles :/
200,0:05:13,Derasiel_Wowee,subscriber,sardAYAYA
201,0:05:16,Jyben_,subscriber,n0_time jamais je pense
202,0:05:17,draxaufeuxyz,none,@gathoderiz merci
203,0:05:18,kiasma0,subscriber,Bonjour ^^
204,0:05:18,darwins00,none,Tu referas quand du dark souls 3 ?
205,0:05:20,SardYesLife,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
206,0:05:20,Kurutshi,none,il est dispo sur d'autres serveurs
207,0:05:22,luxime,subscriber,@HighQualityVignette ah ok pas bête mais si la commu se donne un nom elle même c'est plus hypocrite si ?
208,0:05:24,Derasiel_Wowee,subscriber,@n0_time jamais
209,0:05:24,n0_time,subscriber,Aie dommage
210,0:05:25,toutankarton_,subscriber,Cette musique sardFire
211,0:05:25,Vagram78,subscriber,yo
212,0:05:30,TVNitrox,none,AYAYAYYAYYAYAYAY
213,0:05:32,nero_scp,subscriber,@Derasiel_Wowee sardLUL
214,0:05:32,yoan1111,none,TehePelo
215,0:05:34,Jaynaris_,none,Je crois que c'est que les abos qui ont accès a Pandora non ?
216,0:05:34,kiritogeeker,none,Est ce que tu peux jouer a moonlighter ?
217,0:05:35,TVNitrox,none,éééééééyop
218,0:05:36,TheBlackDu13,none,<3
219,0:05:37,nero_scp,subscriber,sardYop
220,0:05:37,beauverrrr,none,cc :)
221,0:05:37,veezek,none,ouiiii
222,0:05:38,NaydeeM_,subscriber,sardYop sardYop sardYop sardYop sardYop sardYop
223,0:05:38,tarento_,none,ééé yop
224,0:05:38,Sickandar34,none,comme la sncf; rdv 15h30 et à 15h52 toujours personne !
225,0:05:38,aimdesard,subscriber,sardOche
226,0:05:40,Yrium_,subscriber,sardYop sardYop sardYop
227,0:05:41,squishyheart,subscriber,hahaa
228,0:05:42,veezek,none,<3
229,0:05:42,afgame_,none,Yo
230,0:05:43,HighQualityVignette,subscriber,sardLove sardLove sardLove
231,0:05:44,aimdesard,subscriber,sardYop sardYop sardYop sardYop sardYop sardYop
232,0:05:47,aewiyn_,none,Hello VoHiYo
233,0:05:47,sicurella113,subscriber,sardYop sardYop sardYop sardYop sardYop sardYop
234,0:05:47,Derasiel_Wowee,subscriber,@nero_scp Wowee
235,0:05:47,kiasma0,subscriber,cette douce voix XD
236,0:05:48,toutankarton_,subscriber,sardYop sardYop
237,0:05:49,Djilean,none,yo
238,0:05:49,shira_epz91,none,go muscu
239,0:05:49,Mifuknight,subscriber,sardLove sardLove sardLove sardLove sardLove
240,0:05:52,yoan1111,none,Yo
241,0:05:53,Anacomb,subscriber,LES BRAS
242,0:05:53,pourrlapipe,none,yo
243,0:05:53,Gtxkil,subscriber,sardBan
244,0:05:54,the_strocker,subscriber,Salut sardLove sardLove
245,0:05:54,Yrium_,subscriber,sardAYAYA sardAYAYA
246,0:05:55,Baie_Tas,none,ouai on préfère ouai
247,0:05:55,hydeandcloser,none,Bonjour à tous; bonjour Sardoche <3
248,0:05:56,nero_scp,subscriber,viens me lever osef
249,0:05:57,arcendash,none,LuvBlondeR LuvBlondeR LuvBlondeR LuvBlondeR LuvBlondeR LuvBlondeR
250,0:05:59,HighQualityVignette,subscriber,c'est beau
251,0:06:00,x4nxus_,premium,yo
252,0:06:01,Yrium_,subscriber,INCROYABLE !
253,0:06:02,TVNitrox,none,<3
254,0:06:04,Triestos,subscriber,Hello !
255,0:06:04,Sadouv,none,yo
256,0:06:05,nero_scp,subscriber,Derasiel_Wowee sardWeeb
257,0:06:06,GabFrech,subscriber,Bonjouuuuuuuuuuuuuur; les saines habitudes de vie
258,0:06:06,Sickandar34,none,ha bah enfin
259,0:06:07,mashiro_56,none,Squid1 Squid2 Squid3 Squid4
260,0:06:07,SardYesLife,subscriber,Yes life activée sardFire
261,0:06:09,beauverrrr,none,Musiques d'egirl DansGame
262,0:06:09,TVNitrox,none,AAAAAAAAAAAH
263,0:06:10,nero_scp,subscriber,ah
264,0:06:10,NaydeeM_,subscriber,ah
265,0:06:11,Yrium_,subscriber,Mdrrrr
266,0:06:11,tolugibsv2,none,ce remix
267,0:06:11,HighQualityVignette,subscriber,mdrrrr
268,0:06:12,mistgun666,none,Alors; à part bit sabber t as commencé le sport? En tout cas je t encourage pour avoir la motivation; j suis avec toi
269,0:06:12,NaydeeM_,subscriber,raté
270,0:06:12,nero_scp,subscriber,zrtAH
271,0:06:13,hakarano34,none,tu va dead ca frere
272,0:06:13,guigzou,none,flou
273,0:06:13,sicurella113,subscriber,C'est parfait
274,0:06:13,chillou320,none,mdr
275,0:06:13,purvanas,none,AH
276,0:06:13,braevlee,none,AYAYA
277,0:06:13,yoan1111,none,TPFufun
278,0:06:14,troahh,subscriber,YO
279,0:06:14,draxaufeuxyz,none,ba il est en retard
280,0:06:14,TheBlackDu13,none,PTDRRRRRRR
281,0:06:14,Amiine54,subscriber,ah
282,0:06:14,icefreoze,none,Ah
283,0:06:16,lesdeuxnuts,none,wesh les srabs
284,0:06:16,Fekos,none,Bonjour; je voudrais me plaindre d'un fléau sur Twitter pour popcorn apres je sait que c'est impossible :/
285,0:06:16,kawabunga92i,subscriber,monkaX
286,0:06:16,squishyheart,subscriber,^^
287,0:06:16,veezek,none,TROP BEAU !!
288,0:06:16,sdeku57,none,la musique MDRRR
289,0:06:17,fafalr,none,Adieu joris
290,0:06:18,NaydeeM_,subscriber,LUL.
291,0:06:18,TVNitrox,none,flouted
292,0:06:18,Anacomb,subscriber,:bave:
293,0:06:19,Gtxkil,subscriber,LuvBlondeR LuvBlondeR LuvBlondeR
294,0:06:21,Amiine54,subscriber,sardPopcorn sardPopcorn
295,0:06:21,jack_lg_,premium,du ariana grande?
296,0:06:22,nero_scp,subscriber,Zi focus
297,0:06:22,danielolden,none,mdr
298,0:06:24,Baie_Tas,none,pourquoiya duariana grande ?
299,0:06:25,yoan1111,none,T bo
300,0:06:26,Les_lives_de_Nono,none,focused
301,0:06:27,Yrium_,subscriber,Il ma tué mdrrrr
302,0:06:28,Bluerion,premium,ouiJEUNECOUY ouiJEUNECOUY
303,0:06:28,mashiro_56,none,Salut
304,0:06:30,veezek,none,CHLA TUE
305,0:06:31,TVNitrox,none,Ariana dranded
306,0:06:31,shira_epz91,none,pète moi le cul sardounet
307,0:06:32,Triestos,subscriber,Excusez moi de demander mais ce soir y'a pas la GL les gens sont déjà qualifier nan ?
308,0:06:32,rafas1,none,Le focus avec les DLSR faut TOUJOURS le refaire cest relou :(
309,0:06:33,beauverrrr,none,Musique d'egirl fan de kpop DansGame
310,0:06:33,toutankarton_,subscriber,Hé t flou
311,0:06:33,yoan1111,none,Focused
312,0:06:35,RaiseNSharp,none,il se fait désirer le petit
313,0:06:35,hakarano34,none,tu vas dead ca frere
314,0:06:35,strromplayer,none,wsh les kheys
315,0:06:36,Kurutshi,none,il va anoncé qu'il a acheté le psg ?J
316,0:06:37,nero_scp,subscriber,tu était si parfait Kappa
317,0:06:37,rrom6859,premium,japonais
318,0:06:37,draxaufeuxyz,none,😜
319,0:06:39,ksajan_,subscriber,les gens c'est bloqué à 720p ou y a que moi?
320,0:06:39,GrandMechantEpaulard,subscriber,heeey
321,0:06:40,Maroini,none,YOOOOOOOOOOO
322,0:06:41,TheBlackDu13,none,salut bg <3
323,0:06:41,TVNitrox,none,et rrrrrrrrrrrrreeeeeeeeee
324,0:06:41,heru___,subscriber,eh salut a toi u
325,0:06:42,GuillaumeP84,none,yo
326,0:06:42,mrjardiland,none,Bonjour @Sardoche bonjour à tous
327,0:06:42,sdeku57,none,ariana granded
328,0:06:44,MrWorzeth,subscriber,MrWorzeth subscribed at Tier 2. They've subscribed for 12 months! 1 an déjà !
