"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/a234d874-30ae-4128-ae38-1c7a71dfcac4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Rainbow6","212723040","3150","135471","71494","1315489","49355","2205023","true","true","English","Rainbow6"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","loltyler1","117930915","4035","36287","29271","3046069","21923","1627394","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9a67eb66-66b8-47fa-b388-61f2f74ce213-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","dota2mc_ru","101343630","4725","97194","15348","368412","9015","2584053","true","false","Russian","dota2mc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/200cea12142f2384-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","summit1g","96239010","3090","40253","27134","4168495","12498","1134561","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4a2ebed1-1076-4766-afee-366236271ce0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","Magic","89603280","1755","114234","36427","352024","9975","5200848","true","false","English","Magic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","6","xQcOW","85115310","4365","25431","19495","2083097","11744","1259324","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9c06645c-0ba0-4f53-8a41-8208a0e36043-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","LCK","80408955","1920","117509","42087","686915","17269","1479583","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ffdc21f2-f4f9-4ee7-b94d-d7b87df7edc3-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8","btssmash","78546810","9570","60348","7795","213627","10279","1060450","true","false","English","btssmash"
"https://static-cdn.jtvnw.net/jtv_user_pictures/226651b3-35b2-46e4-84a3-74cb941b28c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","RocketLeague","70978455","1890","85410","36639","1191356","28323","1034405","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4123cf4b-3bd8-4133-a6a0-37295842124d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","BLASTPremier","69345600","1740","93402","33690","357051","20995","1648227","true","false","English","BLASTPremier"
